Crash ID,Date,Time,Day of Week,City,Country,Continent,Latitude,Longitude,Aircraft Type,Operator,Flight Phase,Crash Cause,Total Onboard,Fatalities,Survivors,Survival Rate (%),Crash Summary
CRASH0001,2002-02-06,03:01,Wednesday,City_67,France,Europe,-77.226929,-77.310653,Boeing 777,Qantas,Cruise,Weather,70,55,15,21.43,"Weather during cruise in City_67, France."
CRASH0002,2014-02-19,13:30,Wednesday,City_87,France,Europe,-17.770463,71.35844,Boeing 777,Air France,Descent,Bird Strike,232,21,211,90.95,"Bird Strike during descent in City_87, France."
CRASH0003,2021-09-27,16:27,Monday,City_30,UK,Europe,-48.050017,-67.133349,Boeing 777,Delta Air Lines,Cruise,Bird Strike,115,46,69,60,"Bird Strike during cruise in City_30, UK."
CRASH0004,2009-10-03,18:08,Saturday,City_96,USA,North America,-13.61947,-174.903537,Airbus A320,British Airways,Takeoff,Mechanical Failure,235,146,89,37.87,"Mechanical Failure during takeoff in City_96, USA."
CRASH0005,2009-07-02,13:38,Thursday,City_34,France,Europe,36.112085,73.521217,Airbus A320,British Airways,Climb,Weather,184,16,168,91.3,"Weather during climb in City_34, France."
CRASH0006,2005-08-27,07:57,Saturday,City_74,France,Europe,-83.236347,-142.709297,Boeing 737,Air India,Cruise,Mid-air Collision,56,49,7,12.5,"Mid-air Collision during cruise in City_74, France."
CRASH0007,2015-03-05,15:40,Thursday,City_49,Brazil,South America,53.094642,160.811846,Boeing 777,Qantas,Landing,Bird Strike,35,31,4,11.43,"Bird Strike during landing in City_49, Brazil."
CRASH0008,2008-01-21,06:11,Monday,City_9,Germany,Europe,26.098996,-170.742825,Airbus A320,Air India,Descent,Fuel Exhaustion,217,172,45,20.74,"Fuel Exhaustion during descent in City_9, Germany."
CRASH0009,2020-12-25,16:32,Friday,City_78,Russia,Europe,7.640517,149.343922,Embraer E190,British Airways,Cruise,Bird Strike,126,66,60,47.62,"Bird Strike during cruise in City_78, Russia."
CRASH0010,2009-07-11,22:57,Saturday,City_87,Germany,Europe,-44.836331,124.927521,Embraer E190,Air France,Cruise,Fuel Exhaustion,290,165,125,43.1,"Fuel Exhaustion during cruise in City_87, Germany."
CRASH0011,2001-08-27,05:15,Monday,City_39,UK,Europe,2.337002,53.325787,Boeing 777,Emirates,Climb,Weather,105,18,87,82.86,"Weather during climb in City_39, UK."
CRASH0012,2005-08-10,04:41,Wednesday,City_51,USA,North America,-39.608151,172.111554,Boeing 777,Air India,Landing,Weather,43,5,38,88.37,"Weather during landing in City_51, USA."
CRASH0013,2018-04-21,17:13,Saturday,City_96,Brazil,South America,34.275634,-77.06697,Airbus A330,Qantas,Cruise,Mid-air Collision,185,58,127,68.65,"Mid-air Collision during cruise in City_96, Brazil."
CRASH0014,2007-11-14,11:36,Wednesday,City_35,Canada,North America,-18.939816,-168.526161,ATR 72,Qantas,Landing,Human Error,32,29,3,9.38,"Human Error during landing in City_35, Canada."
CRASH0015,2016-07-14,05:06,Thursday,City_69,Russia,Europe,-9.117415,-93.911115,Embraer E190,Air India,Takeoff,Mechanical Failure,73,23,50,68.49,"Mechanical Failure during takeoff in City_69, Russia."
CRASH0016,2000-06-05,09:15,Monday,City_13,Germany,Europe,-31.140944,-79.142971,Airbus A320,Lufthansa,Landing,Human Error,198,183,15,7.58,"Human Error during landing in City_13, Germany."
CRASH0017,2012-02-04,02:38,Saturday,City_27,Germany,Europe,-31.239036,-82.840551,Boeing 777,British Airways,Descent,Weather,118,2,116,98.31,"Weather during descent in City_27, Germany."
CRASH0018,2020-06-26,02:25,Friday,City_22,Brazil,South America,-86.53328,-109.159504,ATR 72,Delta Air Lines,Climb,Human Error,203,77,126,62.07,"Human Error during climb in City_22, Brazil."
CRASH0019,2001-10-06,13:13,Saturday,City_73,France,Europe,3.324108,-148.887404,Airbus A320,Lufthansa,Takeoff,Weather,66,5,61,92.42,"Weather during takeoff in City_73, France."
CRASH0020,2013-09-19,13:08,Thursday,City_59,India,Asia,-7.46034,-24.040297,Airbus A320,Qantas,Climb,Mechanical Failure,153,39,114,74.51,"Mechanical Failure during climb in City_59, India."
CRASH0021,2003-01-14,09:39,Tuesday,City_68,Russia,Europe,85.372402,-48.584161,Airbus A320,Qantas,Landing,Bird Strike,144,1,143,99.31,"Bird Strike during landing in City_68, Russia."
CRASH0022,2009-10-15,17:28,Thursday,City_100,USA,North America,64.329023,-33.03606,Embraer E190,Lufthansa,Cruise,Bird Strike,184,117,67,36.41,"Bird Strike during cruise in City_100, USA."
CRASH0023,2010-07-27,23:02,Tuesday,City_57,Germany,Europe,-65.152242,112.326298,Airbus A320,Delta Air Lines,Landing,Mid-air Collision,195,172,23,11.79,"Mid-air Collision during landing in City_57, Germany."
CRASH0024,2005-05-08,12:58,Sunday,City_50,UK,Europe,51.35302,63.91037,ATR 72,Qantas,Descent,Mechanical Failure,114,3,111,97.37,"Mechanical Failure during descent in City_50, UK."
CRASH0025,2021-04-13,16:47,Tuesday,City_67,India,Asia,-28.718959,-76.002147,Airbus A330,Air India,Takeoff,Fuel Exhaustion,167,52,115,68.86,"Fuel Exhaustion during takeoff in City_67, India."
CRASH0026,2010-02-10,13:23,Wednesday,City_26,France,Europe,-5.224896,-22.744139,Embraer E190,Air France,Descent,Mid-air Collision,204,13,191,93.63,"Mid-air Collision during descent in City_26, France."
CRASH0027,2003-11-09,21:05,Sunday,City_75,Canada,North America,4.169455,-120.750109,Embraer E190,Lufthansa,Descent,Mechanical Failure,246,202,44,17.89,"Mechanical Failure during descent in City_75, Canada."
CRASH0028,2014-11-18,13:44,Tuesday,City_83,China,Asia,8.205838,-102.527289,Airbus A320,Lufthansa,Descent,Mid-air Collision,51,4,47,92.16,"Mid-air Collision during descent in City_83, China."
CRASH0029,2018-07-28,05:11,Saturday,City_77,India,Asia,-32.948964,-26.503321,Boeing 777,Qantas,Climb,Fuel Exhaustion,33,13,20,60.61,"Fuel Exhaustion during climb in City_77, India."
CRASH0030,2018-03-10,15:48,Saturday,City_14,UK,Europe,-31.447945,-90.341428,Embraer E190,Qantas,Landing,Mechanical Failure,245,214,31,12.65,"Mechanical Failure during landing in City_14, UK."
CRASH0031,2005-09-07,03:51,Wednesday,City_24,Brazil,South America,72.564087,-76.128787,ATR 72,Air France,Cruise,Human Error,128,8,120,93.75,"Human Error during cruise in City_24, Brazil."
CRASH0032,2012-08-13,04:57,Monday,City_78,USA,North America,-34.593392,148.36145,Boeing 777,Delta Air Lines,Climb,Weather,284,173,111,39.08,"Weather during climb in City_78, USA."
CRASH0033,2018-09-28,20:40,Friday,City_96,Russia,Europe,55.337996,-150.500445,Airbus A320,Air India,Climb,Bird Strike,274,133,141,51.46,"Bird Strike during climb in City_96, Russia."
CRASH0034,2000-02-08,19:43,Tuesday,City_86,Australia,Oceania,-30.996261,89.033114,Airbus A320,Delta Air Lines,Climb,Mid-air Collision,74,45,29,39.19,"Mid-air Collision during climb in City_86, Australia."
CRASH0035,2001-10-21,03:50,Sunday,City_64,Russia,Europe,58.033544,152.72057,Embraer E190,Lufthansa,Cruise,Mid-air Collision,210,62,148,70.48,"Mid-air Collision during cruise in City_64, Russia."
